stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Pancreatic_cell,Radial_glia,Retinal_cell,T_cell
21Day,0.37,0,0,0,1.48,0,0.74,3.7,0.37,0,1.11,0,0,0.74,0.37,0,0,1.85
3Month,0,0.1,0.42,0,2.39,0.21,3.33,0.21,0.1,0.1,0.21,0,0.1,0,0,0,0,2.81
22Month,0,0,0.27,0.14,11.89,1.23,1.64,0,0.68,0,0.96,0.27,0.14,0,0,0.14,0.14,2.05
