stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0.37,0,0,0,0,0,0,0
3Month,0,0,0.31,0.1,0.42,0.1,0.1,0,0.31,0.1,0.21,0.21,0,0,0.1,0,0.1,3.54,0.1,0.31,0.1
22Month,0.14,0.14,0,0,0.55,0,0,0.14,0,0,0.14,0,0,0,0,0.14,0,4.51,0,0,0.14
