stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0.37,0,0,0
3Month,0.1,0,0.21,0,0.1,0.1,0.31,0,0.73,0.21,0.52,0.21,0.1,0.1,0.1,0,0.21,0,0,0.1,0,0.21,0,0,0.1,0.1,0.1
22Month,0.14,0.27,1.37,0,0,0.14,1.09,0.27,7.93,0.68,1.09,0.14,0.41,0.68,0,0.41,0,0.14,0,0.14,0.14,0.14,0.14,0,0,0,0.55
