stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24,0,2,0,0,0,0,0,0,0,0,1,0,0,15,0,0,1,30,0,4,0,0,0,0,0,0,0,0
72hpf,5.36,0,0.56,0,0,0,0,0,0,0,0,0,1.97,0,10.71,0,0,1.69,1.97,0,24.52,0,0,1.13,0.28,2.25,0,0,0
21Day,6.29,0,3.7,0.37,0.37,0.37,0,0,0,0.37,0.74,0,0.37,0,18.13,0.37,0,2.22,1.48,0,27.01,2.22,0,0,0,2.59,0,0,0.37
3Month,0,0,1.56,0,0,0,0.1,0.21,0.1,0,0.31,0,0.31,0.1,5.82,0,0.1,0,0,0,0,0.1,0.31,0,0,0.1,0.31,0.1,0.21
22Month,0.27,0.41,0.14,0,0,0,0.27,1.23,0,0.14,0.14,0,0,0,5.33,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0
