stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Macrophage,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,1,0,0,0,0,0
21Day,0,0,0,0,3.7,0,0,0,0
3Month,0.21,0,0,0,0,0,0,0,0.42
22Month,0,0.14,0.68,0,0,0.14,0.14,0.14,0
