stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
72hpf,0.28,0,0,0,0,0,0.28,1.13,0.56,0.28,0,0
21Day,0.37,0,0.37,0,0.37,0.74,1.11,1.48,0.37,1.85,0,0.37
3Month,0,0.1,0,0.1,0,0,0,0,0,0,0.1,0
