stage,Epithelial_cell,Hepatocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,1,0,0,5,0,0
72hpf,0,0,0.56,0,0,0
3Month,0,0.1,0,0,0.31,0.42
