stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0.28,0.56,0,0.85,0,0,0,0,0,0,0.85,0,0,0,0,0
21Day,0.74,0,0,2.22,0,1.11,0,0.74,0,0,0,0,0,0,0,0,0,0.37,2.22,0.74,1.48,0,0,0,0,0.37,0.74,0,0,0,0.74,0,20.35,0,0,0,0.74,0.37
3Month,0.83,2.39,2.29,29.02,0.21,0,0.52,0.31,0.1,5.62,10.92,0.1,0,45.98,13.11,0.94,18.62,3.95,7.49,7.91,11.44,1.56,0.31,2.6,4.99,1.87,0.62,2.5,1.66,0.62,9.26,0.1,1007.72,0.94,0.31,5.72,604.65,7.49
22Month,0,0.14,0.27,1.23,0,0,0.14,0,0,0.27,0.14,0,0,6.29,0.14,0.14,1.5,0,0,0.55,0.27,0.14,0.41,0.14,0.14,0,0,0.14,0.14,0.27,0.27,0,107.54,0,0,0,1.37,0.14
