stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,1,0,0,0
72hpf,0,0,0,0,0,0,0,2.25,0,0,0,0
21Day,0.37,0,0,0.37,0,0,0.74,3.7,0,0.37,0,0
3Month,0,0.1,0.1,0,0.1,0.1,0,0,0,0,0.1,0.1
