stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,38,0,1,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,1.13,0.56,0,0,0,0,0,0,0.28,0,0.56,1.69,0,3.38,0,0,0.85,4.79,0,1.41,0,0.28,2.25,0,0.28,0,0,0
21Day,0.37,1.11,0,2.22,0.74,0,0,0,0,0,0,0,0,0,0.74,0,3.33,0.37,0,5.18,1.85,0,2.22,0.74,0,0.74,0,0,0,0,0
3Month,0,0.1,0.1,1.98,0,0.1,0.1,0.21,0,1.66,0.1,0.1,0.73,0.1,0.31,0,0.83,0,0.1,0,0,0.31,0,0,0.83,0,0,0,0.1,1.77,0.21
22Month,0,0.14,0,0.55,0,0,0,0.55,0.41,3.96,0.27,0.14,0.14,0,0,0.27,0.55,0.14,0,0.14,0,0.14,0,0,0,0,0.27,0,0,0,0.27
