stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,15,1,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0.28,0,1.69,0.28,0,7.05,1.69,0.56,0.28,0,0
21Day,1.11,0,0.37,0,0.37,0,0,0,0,0,0,3.7,0,0,4.44,1.85,1.11,0,0.37,0
3Month,0,0,0,0,0,0.1,0.21,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0.1
22Month,0,0.14,0,0,0,0.14,1.78,0.41,0.27,0,0.27,0.55,0,0,0.14,0,0,0,0,0
