stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0
72hpf,0,0,0,0,0,0,0.28,0,0.56,0.28,0.28
21Day,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0,0.21,0,0,0,0.1,0.1,0.31,0,0,0
22Month,0,0.14,0.14,0.14,0.14,0,0.27,0,0,0,0.55
