stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast
24hpf,1,0,0,1,2,1,20,0,1
72hpf,0.56,0,0,0.56,0.85,0,1.41,0,0.28
21Day,0,0,0,0,0.37,1.11,0,0,0.74
3Month,0,0.1,0.1,0,0,0,0,0,0
22Month,0,0,0.14,0,0,0,0,0.14,0
