stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12,1,0,2,0,0,2,1,43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.41,1.41,0,0,0,0,0,0,0,0,0,0.56,14.66,0,0.28,0,0,0,1.41,5.92,0,0,0,0.56,0,0,2.25,0,0,0,0,0
21Day,0,0,0,4.07,0.37,0,0,0,0,0,0,0,0,0,0.74,17.02,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.42,0.62,0.62,35.37,0.31,0.21,0.1,1.14,2.08,0.1,11.86,2.08,0.42,3.74,13,1.77,2.7,1.87,0.42,0.73,1.66,0.52,0.31,0.62,0.1,0,0.31,1.66,13,0.21,0.1,0.1,1.04,302.59,1.14
22Month,0,0,0,13.12,0,0.14,0,0,0,0.27,1.78,0,0,0.41,1.64,0.55,0.55,0.14,0,0,0.14,0.14,0.14,0.55,0.14,0.14,0,0,23.5,0.27,0,0,0,1.37,0
