stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.85,2.25,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0.74,0,0.37,0,0,0,0.37,0,0.37,0,0,1.11,1.48,0.74,0,0,0,0,0,0,0,0.37,0,0.37,0.37,0,0.74
3Month,0.21,0.21,1.14,0,0,0.21,0.42,1.14,0.1,0,0.21,0.42,0.31,1.04,0.21,0.1,0,0.1,0,0.1,0.21,0,0,0.31,24.03,0,30.27,0.42
22Month,0,0,0.14,0,0.14,0,0.14,1.23,0,0,0.27,0,0.27,0.41,0.14,0,0.14,0,0,0.14,0,0.96,0,0,5.06,0,0.14,0
