stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.56,0.56,0,0,0,0,0,0.28,0,0,0,0
21Day,1.11,0,0.74,3.7,0,0.37,0,0.37,0,0,0,0,0.74,0,1.48,1.11,2.96,0,0,0,0.74,1.11,0,0.74,2.22,1.48,0,0.37,0.37,0,0,0.37
3Month,0,0,0,1.25,0,0,0.1,0,0.1,1.35,0.52,0.1,0.21,0.1,0.62,0.21,0.52,0.1,0.21,0.1,0.1,0,0.21,0,0,0,3.74,0.1,0,0.1,0.1,0.1
22Month,0,0,0.14,0,0,0,0,0,0,0.41,0,0,0.27,0,0.14,0,0.14,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0
