stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0
72hpf,0,0,0.28,0,0,1.13,0,0.28,9.02,0.85,0.28,0.56,0,3.66,0
21Day,0.37,0.74,0,0.37,0,0,0,0,1.85,1.85,0,0,0,1.11,0.37
22Month,0,0,0,0,0.27,0,0,0,0,0,0,0,0.14,0,0
