stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,4.23,0,0.85,0,7.89,0.85,0,0.56,0,0.56,0,0,0.56,0,0,0
21Day,0,0,1.11,0,0,0,0.37,0,0.37,0,0.74,0.74,1.11,0.74,2.59,2.59,0,0,0,0,0,0,0,0,0,0
3Month,0.42,0,0.52,0.1,0.1,0,0.52,0.1,0,0.1,1.77,0.21,0.21,0,0,0,0,0,0,0,0.31,0.52,0,0,0.1,0
22Month,0.27,0.27,0.55,0,0.41,0.14,3.96,0,0.14,1.37,0.41,0.27,0.41,0,0,0,0.41,0,0.14,0,0,2.46,0,0.14,0,0.14
