stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0.28,0.28,0.56,0,0.28,0,0,2.54,0.28,0,0,0,0,0,0.28,0,0,0
21Day,0,0,1.85,0,0,0.74,0,0,0.37,0,0,0,1.48,0,0,0.74,0,0.74,0.74,0,0,0.74,0,0,0,0,0,0.37
3Month,0,0.1,1.04,0.1,0.1,0.42,1.77,0,0,0.21,0.31,0.31,0.42,0.1,0,0,0,0,0,0,0,0,0.42,0,0,0.21,0.42,0.1
22Month,0.14,0.27,0.14,0,0,0.14,3.55,0.14,0.14,0.68,0,0.68,0.41,0,0.27,0,0.14,0,0,0.14,0.14,0,0.14,0.14,0,0.14,0,0.14
