stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,0
72hpf,0.85,1.69,0.85,0,0.85,0,0,0,0,0,0,0,0,0,0,3.66,0,1.97,0.28,0,0.28,203.78,52.42,0.56,0,3.1,0,0.56,2.25,0,0,0
21Day,1.11,0.37,1.11,0,2.59,0,2.59,0,0,0,0.37,0,2.59,1.85,0,0.37,0.37,1.85,0,0,0,39.59,17.76,0.37,0,0.74,2.22,1.11,0.37,0,0,0.74
3Month,0.1,0.1,1.77,0.1,0,0.1,0.1,0.21,0.62,0,3.02,1.56,0,0.62,0.42,0.31,0.83,0.52,0.1,0.21,0,1.25,0.31,2.39,0,0,0.62,6.03,0,0.1,0.42,0.21
22Month,0.27,0.96,1.09,0,0,0.14,0,0.14,2.46,0.41,16.4,1.78,0.27,1.37,0.14,0.41,1.5,0.55,0.55,0.14,0.14,0.41,0.27,2.6,0.41,0,0,4.37,0.27,0.14,0,0.41
