stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0.56,0,1.41,0,0.28,0,0,0,0,0,0,0,0,1.69,0,1.13,0,0,0,1.97,0.85,0.85,0.56,0,0,0,0
21Day,0.37,0,0.37,3.33,0.74,0.74,0.37,0.37,0,0,0,0,0,0.37,2.22,0.37,1.11,0,0,0,1.48,1.11,0.74,0.37,0,0,0,0
3Month,0,0.21,0,1.77,0,0,0,0.62,1.87,0,1.04,0.21,0.62,0.1,0.62,1.04,0.42,0.21,0.21,1.14,0.1,0,0,0.21,0.21,0.1,0.31,0.21
22Month,0,0.14,0,0.55,0,0,0,0,3.42,0.41,2.73,0.55,0.68,0,0.41,0.82,0.14,0,0.41,0,0,0,0,0,0,0,0,0
