stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0.28,0.56,0,0
21Day,0.37,0,0.37,0,0,0.37,0.74,0,0,0,0,0.37
3Month,0,0,0.1,0,0.31,0.21,0,0.1,0,0,0.21,0
22Month,0,0.14,0,0,0.27,0,0,0,0,0,0,0
