stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.56,0,0.28,0,0,0,0
21Day,0.37,0,0,0.37,0.37,0,0,0.37,0,1.11,0,0,0,0,0,0,0,0,1.11,0.37,0,0,3.33
3Month,0,0.1,0.21,1.35,0,0.1,0.94,1.87,0.52,0,0.73,0.1,0.21,0.73,0.42,0.1,0,0,0.52,16.23,0.21,44.21,9.26
22Month,0,0,0,0.27,0,0,0.14,1.09,0,0,0.14,0,0.14,0.55,0.14,0,0.14,0,0,2.32,0.14,0.27,0.96
