stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0.85,1.13,0.56,0,0,7.89,0.28,0
21Day,0,0.37,0.37,0,0,0,0,0,0,0,0,0,5.55,0.74,5.18,0,0.37,0,10.36,0.74,0
3Month,0,0.31,0,0.1,0,0.1,0,0,0,0.1,0,0.1,0,0,0.52,0,0,0,0,0,0.1
22Month,0.14,0.14,0,0,0.27,1.64,0.14,0.41,0,0.14,0.27,0,0,0.14,0.41,0,0.14,0.14,0.41,0,0
