stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0
72hpf,0.28,0.28,0.56,0.56,0,0,0,0,0.28,0,0,1.13,0,0,0.85,0.85,0.85,0,1.41,0,0
21Day,0.37,0,0.37,0.37,0,0,0,0,0,0,0,4.44,0,0.37,0.74,0.37,2.22,0,0.37,0,0
3Month,0.1,0.83,0.42,0,0.21,0.31,0.21,0.52,0,0.21,0.42,6.66,1.66,0.31,0.1,0.1,0.21,2.18,0.1,1.77,1.04
22Month,0,0.14,0,0,0.14,0,0.27,0,0,0.14,0,3.14,0.27,0.14,0,0,0,1.09,0.27,0,0
