stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,6.76,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,5.07,0,1.97,0,0.85,0,6.76,2.82,0,0.28,0.85,0,0,2.54,0,0,0,0,0,0
21Day,1.11,5.55,0,51.06,1.11,0,0,0,0,0,0,0,0,0.74,0.37,0.37,14.06,0.37,4.07,0,5.18,0,3.7,2.59,0.37,0.74,0,0.37,0,1.85,0.74,0.37,0,0,0,0.37
3Month,0.21,6.87,0,37.55,0,0.1,0.1,0,0.21,0.31,0,1.87,0.62,0.1,1.04,0.21,20.49,0.83,2.5,0.31,0.31,0.42,0.62,0.21,0.1,0.31,0.1,0.1,1.98,0.42,0,0,0,8.95,0.1,0.42
22Month,0,9.7,0.14,6.83,0,0,0,0.14,0,0.27,0.68,2.87,0,0.14,0.14,0.14,3.01,0.41,1.78,0,0.27,0,0.55,0,0,0.14,0,0,0.14,0.41,0.14,0,0.14,1.78,0,0.14
