stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,0.85,0.28,0,0,0,0,0,0,0,0,0,0,0,0.85,0,14.66,0,0,0,1.13,1.13,0,0,12.68,0,0,0,0,0,0,0,0,0
21Day,0.37,0.37,0,2.22,0,0.74,0,1.11,0,0,0,0.37,0,0,0.74,0,0.37,0.37,65.12,0,1.85,0,1.48,1.11,0,0,28.49,1.85,0,0,0.37,1.11,1.11,1.11,0,0.37
3Month,0.1,0.94,0,3.02,0,0,0.1,0,0.21,0.1,3.22,0,3.33,0.83,0,1.04,1.46,1.35,76.66,38.38,2.5,0.42,0.62,0.21,0.1,0,11.23,0.1,0.83,0,0,0,0.62,2.91,0.1,0.83
22Month,0.14,0.27,0.14,1.09,0,0,0.14,0,0,0,0,0.27,3.83,0.14,0,0.27,0.41,0.55,23.78,3.55,0.41,0.14,0,0.14,0,0.14,5.06,0.14,0.41,0.27,0,0,0,0.68,0,0.14
