stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0,0,0,0,0,0,0.28,0,0.28,0,3.1,0,0,0,0,0,0.28,0,0
21Day,0.37,0,0.74,0.74,0.74,0,0,0.37,0,0.74,0,0,0,0,1.85,0,0.37,0,0,0,0,0,0.37
3Month,0,0.1,1.04,0,0,0.21,0.21,4.47,0.1,0.31,0.1,0.21,0.1,0.73,0,0,0,0.1,0.1,0.1,0,0.1,0.1
22Month,0,0,0.14,0,0,0,0,0.82,0,0.14,0.14,0,0.14,0,0.14,0,0,0,0,0,0,0,0.14
