stage,Epithelial_cell,Erythrocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
72hpf,0.28,0,0,0.56,0.28,0.28,0.28,0,0
21Day,0.37,0.37,0,0.74,0,0.74,0.37,0.37,0.74
3Month,0,0,0.21,0,0,0,0,0,0
