stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,5.36,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0
21Day,0,2.22,0.74,0.37,1.11,0,0,0.37,0,8.88,0,0,0,1.48,0,0,0.37,0,0,0,0,0.74,0,0.74,0.37,0,0
3Month,0.1,1.66,0.83,0,1.25,0.21,0,1.56,0.21,35.68,0.1,0.31,0.1,0.31,0.1,0,0,0,0.21,0.31,0,0.21,0.73,0,0,0.52,0.21
22Month,0.14,1.37,0.27,0,1.09,0.55,0.14,3.69,0.27,39.08,0,0,0.14,0.14,0.14,0.55,0,0,0,0.27,0.14,0.14,0.41,0,0,0,0
