stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,9.58,17.47,0,0.28,0,0.56,0.28,0.28,4.23,0,0,0.28,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,0,0.74,0,0,0.37,0,1.11,0,0,0,0,5.55,9.62,0,0,0,0,0.37,3.7,1.85,0,0.74,0.37,0,0.37,0.74
3Month,0.21,0.21,0.21,7.07,0,0.31,1.56,0,6.35,1.77,0.1,2.81,0.62,0.73,1.35,1.46,0.21,0.1,0.83,0.52,0.52,1.98,0.83,0.52,0,0,1.46,245.58,0.21,0,0,0.1,1.25,39.73,8.43
22Month,0,0.14,0,3.83,0.14,0,0.27,0.14,2.73,0.14,0.82,0.68,0.27,0,0.14,0.27,0,0.14,0,0,0.41,0.27,0,0,4.78,0.14,0,40.31,0.14,0.14,0,0,0,0,2.32
