stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0.28,0,17.76,0.28,0,0,0,0
21Day,0.74,0,0,0,0,0,0,0.37,0,0,8.88,0.37,0,0,0,0
3Month,0.21,0.1,0,0.52,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0
22Month,0.27,0.41,0.14,6.42,0.27,0.41,0,0.68,0.41,0.14,0,0,0.14,0.14,0.14,0.14
