stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,1,1,0,0,0,0,0,0,13,0,0,1,0,0,0,1,0,0
72hpf,0,1.69,0,0.28,0,0,0,0.28,23.68,0.28,0.28,0.85,0.56,0,0,0,0,0
21Day,0,4.44,0,0,0,0,0,0,18.13,0,0,0.37,0.37,0.37,0,0.37,0,0
3Month,0,11.44,0.1,0,0.1,0.73,0.21,0,0.42,0.1,0,0.1,0,0.1,0.1,0,0.21,0.1
22Month,0,0.14,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0
