stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,15,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,2.25,0,0,0,1.41,0,0,0.56,0.85,0,0,0,0,0,1.41,0.28,0,0,0,0.28,0,0.28,0,0,0.28,0,0,0
21Day,0,0,1.48,1.48,0,4.44,0,9.25,0,0,1.85,9.99,0,0,0.37,3.33,0.74,0,0,0.37,0,2.22,0.74,0,0,0,1.48,1.11,0.37,0,0,0,0,0,9.99
3Month,0,0.62,3.12,0,0.62,1.25,0.42,102.77,0,3.02,55.02,3.43,3.85,0.62,0.83,11.03,3.33,0.42,0,0.73,0.31,0.83,0,0.42,0.52,0,0.21,0.83,10.19,0.1,0.1,0,0.21,2.39,68.96
22Month,0,0.55,1.37,0,0.82,0.14,0.41,126.81,0.14,3.55,10.93,2.46,1.64,0.27,0,17.49,0.55,0,0.82,0,0,0.41,0,0,0.41,5.88,0,0,0.68,0.55,0,0,0.27,0,16.67
