stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
72hpf,0.85,1.13,0.28,0.28,0,0,0,0.56,0,5.64,0,0,19.17,1.41,5.36,0,0.28,0,0
21Day,1.11,1.48,0.37,0.74,0,0,0,1.11,0,9.62,0,1.11,14.8,1.11,3.33,0.74,0,0.37,0.37
3Month,0,0.1,0,0,0,0.1,0,0.1,0.1,0.21,0,0,0,0,0,0,0,0,0
22Month,0,0.14,0,0,2.05,0.14,0.14,0.27,0.14,0.68,0.14,0,0,0,0,0,0,0,0
