stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.56,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0.37,0.37,0,0,0,0,0,0,0,0.74,0.37,0,0.37,0,0,0
3Month,0.42,0,0.1,0.1,0.73,0.21,0.1,0.21,0.1,0.21,0,0.21,0,0.1,0.1,0
22Month,0.14,0,0,0,3.42,0,0.55,0.55,0,0,0,0,0,0,0,0.55
