stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0,11.1,0,0,0,0.74,0,0,0,0,0,0,0.37,0
3Month,0.1,0.1,0.31,0.1,0,1.04,0.21,0.31,0.21,9.26,0,0,0.1,0,0,0,0,0.1,0.52,0,0,0
22Month,0,0.14,0.41,0,0.27,1.78,0,0,0,9.7,0.41,0.14,0,0,0,0.14,0.14,0,0,0.27,0,0.41
