stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,2,0,0,0,0,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,1.13,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0.74,1.11,0.37,0,0,0,0,0,0.37,0.37,0.37,0,0,0,0
3Month,0,0.1,1.35,0,0.1,0.31,0.21,0,1.98,0.52,0.1,0.1,0.42,0.31,0.42,0,0.1,0.21,0,0.31,0,0.1,22.78,0.1,0.21,23.4,0.31
22Month,0,0,0.14,0,0.14,0,0,0,0.14,0,0.27,0,0,0,0.27,0.27,0,0,0,0,0,0,6.97,0,0,0.27,0
