stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,7.03,0,0,0,0.37,0.37,0.37,0,0,0,0,0.37,0,0
3Month,0.31,0,0.31,0,0,15.39,0.42,0.31,0,0,0.42,0.1,0,0,0,0.1,0,0.1,1.14
22Month,0.41,0.14,0.14,0,0.82,57.39,0.96,0.14,0.14,0,6.97,0.82,0.14,0.14,0,0,0,0,0.96
