stage,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Neural_cell
21Day,1.11,0,0,0,1.11,1.85,0.37
3Month,0.62,0.1,0,0.1,0,0,0.1
22Month,0,0.14,0.14,0,0,0,0
