stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,2,8,0,0,0,2,0,0,0,0,0,0
72hpf,0,0.85,0,0.56,0,0,0,0,0.28,0,0,0,0,0,0,4.51,0,0.28,0,0,0,0,1.97,0.28,0,0,0,0.28,0,0,0.28,0,0,0
21Day,0,0,0,4.07,0,0,0.37,0,0,0,0.37,0,0.74,0.37,0.74,4.07,1.11,1.11,0,0,0.74,0,0.74,0,0,0,0,0,0,0.37,0.37,0,0,0.74
3Month,0.1,1.35,2.6,42.33,0.21,0.42,0.1,9.15,4.68,0,15.39,4.68,0.62,43.9,2.81,9.05,6.03,2.5,0.94,0,2.81,1.56,0.62,0,2.18,0.21,0,0.31,0.62,7.07,0.1,1.87,1.77,9.05
22Month,0,1.64,2.87,13.53,0.14,0.55,0.41,4.37,7.24,1.5,34.3,6.01,1.5,41.27,0.68,2.32,8.34,2.46,0.27,2.05,2.73,0.14,0.82,0,0.96,0.41,0.14,0,0,1.64,0.27,0.27,0,3.69
