stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0.28,0,0.85,0,1.41,0,0
21Day,0.37,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0.37,2.22,0,0.37,0,0,0,0
3Month,0,0.21,0,0,0.42,0.1,0,0.1,0.1,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0
22Month,0,0,0.14,0.14,9.84,0,0.27,0.68,0,0.14,0.27,0.55,0,0.27,0.14,0,0,0.14,0,0.14,0.14,0.14,0.41
