stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0
3Month,0.52,0.1,0,0.62,0.1,0.1,0.1,1.14,0.94,0.1,0.52,0.1,0.21,0.52,0.31,0,0.1,3.12,0,0.73,0.21
22Month,0.14,0.14,0.27,1.23,0,0,0,0.27,0.27,0,0,0,0.14,0,0,0.14,0,0.68,0.14,0,0
