stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,6,90,0,1,0,0,0,0,0,0,0
72hpf,1.69,1.41,0,0.56,0,0,0,0,0,0,0,0.28,0.28,1.97,0,12.12,0,0.28,4.51,3.95,0,12.4,0,0,0.28,0,0,0,0
21Day,2.96,1.48,2.59,0,0.37,0,0,0,0,0,0,0.74,0,0.74,0,11.1,0,1.11,0.74,1.85,0.37,9.25,0.37,0,0.74,0.37,0,0,0
3Month,0,1.87,0.94,0,0,0.21,0.1,0.21,0,3.43,0.31,0,0.83,0.94,0.1,3.12,1.35,0.31,0.31,0,0.31,0.42,0,0.94,0,0,3.54,0.1,0.1
22Month,0,1.91,0.14,0,0,0,0,0,0.41,2.73,0.14,0.27,0.14,0.14,0.27,0.82,0,0.14,0,0,0.14,0,0,0.41,0,0,0.55,0,0
