stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0.28,0.56,0,0,0,0,0,0,0,0,0.28,0,0,0,0,8.17,0.85,0,0,0,0,0,0
21Day,0,0.74,0.37,0,0,0,0,0,0,0,0,0,0,1.11,0,6.29,0,0,0.37,0.74,0.37,0,0
3Month,0,0.42,0,0.21,0.21,0,0.52,0.1,0.1,0.21,0.1,0.1,0.21,0.1,0,0.1,0,0,0,0,0,0.31,0.1
22Month,0.14,0,0,0.14,0.27,0.14,1.5,0,0,0,0.14,0,0.14,0.41,0.14,0.14,0,0.14,0,0,0,0,0
