stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,0,0,0.28,0,1.69,0,13.25,1.69,0,0.28,1.13,0,0,0.28,5.64,6.2,0,0
21Day,0.37,0,0.37,0.37,1.11,0.37,0,0,0,0,0,0,0.37,0.37,0,4.44,0.74,0,0,0.37,0.37,0,0,8.88,12.21,0,0.37
3Month,0,0,0.1,0,0,0,0.1,0,0.1,0.21,0.21,0.1,0.1,0,0.1,0,0,0.1,0,0,0.1,1.35,0.1,0.21,0,0.21,0
22Month,0,0.14,0.14,0,0,0,0,0.27,3.28,0.14,0.41,0.14,0.14,0.55,0,0,0.14,0,0.14,0,0.14,0.55,0,1.09,0,0,0.27
