stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Spermatocyte
72hpf,0.28,0,0,0,0,0,0.28,0,0,0.28,0.56,0
21Day,0,0.74,0,0,0,0,0,0,0.37,0.37,0,0
3Month,0,0.42,0.21,0,0.31,0.1,0.21,0,0,0,0,0.1
22Month,0,0,0.82,0.27,0.14,0,0,0.14,0,0,0,0
