stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
72hpf,0.28,0,0.85,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0.28,0,0,0,0.28,0,0
21Day,0,0,4.07,0.37,0.74,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0.74,0,0,0,0,0,0
3Month,0,0.1,3.95,0,7.8,0.1,0,0.73,0.1,0.52,0.21,0.31,0.1,0.1,0.1,0.21,0.1,0,0,0,0.73,0,4.68,0.1
22Month,0,0,0.41,0,1.23,0.14,0,0.68,0.14,0.27,0.14,0,0.14,0,0.14,0,0,0,0.14,0,0,0,0,0
