stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,3.1,0,0.28,0,0,0.28,0,0,0
21Day,0.37,0,2.59,0.37,0,0,0,0.37,0,0.74,0,0.37,0,0,0.74,0.74,0,0.37
3Month,0,0.1,2.08,0,0.1,0.62,0.1,0.62,0.21,0.21,1.46,0,0.1,0.1,0,0,0.1,0.31
22Month,0,0,0.27,0,0.41,0.27,0.27,0.55,0,0,0,0.14,0,0,0,0,0,0
