stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,5,0,0,0,0,0,1,0,0,0,0,1,1,2,24,0,0,0,4,544,0,33,0,0,0,0,0,1,0,0,0
72hpf,2.54,0.56,0,1.13,1.97,0,0,0,0,0,0,0,0,0,0.28,2.25,0.28,2.82,0,0.28,0.28,93.01,151.35,0.28,10.71,0.28,0,13.53,0.28,0,5.64,0,0,0
21Day,1.11,0,0,4.07,1.11,0,0,0,0,0,0,0,0.37,0,0,1.11,0.37,2.59,0,0,0,47.36,79.18,0,3.33,2.96,0,7.03,1.11,0.74,3.7,0,0,0.37
3Month,0,0,0,1.14,0,0,0.31,0.1,0,0,0.62,0.21,0.1,0.42,0.1,0.1,0,0.31,0,0.1,0,2.29,3.74,0,0,0.1,1.35,1.25,0.1,0,2.91,0.1,0.21,0
22Month,0,0,0.27,0.68,0,0.14,0,0.41,0.27,0,2.05,0,0,0.27,0,0.14,0.27,0.27,0.14,0.27,0,1.78,1.91,0,0,0.14,0.41,1.5,0,0,1.09,0,0,0
