stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0.28,0,0.28,0.28,0.28,0,4.51,0,0,0,1.69,0,0,0.28,0,0.28,0,2.82,3.95,0.85,0,0,0,0,0
21Day,0.74,0,0,7.4,0,0.37,0,15.17,0,0.37,0,8.88,0,0.37,0.37,1.11,0.37,6.29,1.85,1.48,0.37,0.74,0.37,0.37,0,0.74
3Month,0,0,0.1,2.6,0,0,0.1,0.42,0.21,0.52,0,0.52,0,0.1,0.1,0.21,0,2.08,0,0.1,0,0,0.42,0,3.43,0
22Month,0,0,0,0.41,0,0,0.14,0.41,0,1.37,0.14,0.14,0.27,0,0,0.27,0.27,2.32,0,0,0,0,0,0,0,0
