stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0.28,0,2.54,0,0.56,0,0,0
21Day,1.48,0.37,0.74,0.37,0,0,0,0,0,0.37,0,0,0,0,4.44,0.37,0,0,0,0.74,0,1.11,0,0,0
3Month,0,0.21,1.77,0,0.1,0.1,0,0.31,0.1,0,0,0.31,0.1,0.1,0.31,0,0.1,0,0,0,0,0,0.31,0.21,0
22Month,0,0,0.96,0,0.14,0.14,0.96,2.19,0.14,0,0.27,0,0,0.14,0.55,0,0,0,0.14,0,0.14,0,0,0,0.14
