stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0.85,0,0,0,0,2.82,0.28,0,0,0,0,0,0.28,0.56,0,0,0
21Day,0.74,0,0,0.37,0.37,0,0,0,0.37,0,1.11,0,0,0.37,0,0,0.37,0.74,1.48,0,0,0.37,0,0,0,0,0,0,0
3Month,0,0.31,0.31,2.91,0,0.52,0.1,0,2.6,0.42,0,1.46,0.42,0.31,0.94,0.1,0.21,0.21,0,0.31,0,0,0,0.62,0,0,0.21,0.31,0.21
22Month,0,0,0,0.82,0,0.27,0.27,0.41,5.47,0,0.27,1.37,0,0.55,0.27,0,0.14,0.14,0,0.27,0.27,0.14,0.14,0,0,0,0.14,0,0
