stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,1.13,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0
21Day,0,0,6.66,0,0,0,0.37,0,0,9.25,0.37,1.85,0,0,0,0,0,0.37,0,0
3Month,0,0,0,0,0,0.31,0,0,0.1,0,0,0.1,0,0,0.1,0,0,0,0.21,0.1
22Month,0.27,0.14,14.21,0.41,0.27,2.46,0,0.14,0,0.41,0.82,0.27,0.14,0.14,0,0.27,0.14,0,0,0.27
