stage,Epithelial_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell
24hpf,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.85,0,0.28,0,0
21Day,0.74,0,0,0,0,0,0,0,0
3Month,0.21,0.1,0,0,0,0,0,0,0
22Month,0,0,0.68,0,0,0.27,0,0.55,0.55
