stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.85,0.28,0,0,0.28,0,0,0.28,0,0,0,1.13,0,0.28,10.71,0.28,0.85,0,0.28,0,0,2.82,1.13,0,0,0,0,0,0,0,0,0,0,0,0
21Day,2.59,0.37,0.37,27.01,0,1.85,0,2.59,0,0.37,1.11,0,2.96,0.37,26.64,10.73,2.59,18.13,7.03,4.44,0,0,0.74,0,5.18,1.48,0.37,0,0,2.59,2.96,0.37,0.37,0.37,0.37,0,0,13.32
3Month,0.21,2.18,3.54,53.78,0.31,0,0.83,1.56,0.1,14.25,10.51,0,89.77,11.34,5.1,98.71,4.37,8.53,16.95,4.89,0.42,0.31,6.76,1.98,1.04,0.1,2.39,0.21,0,0.42,2.81,46.29,0,0,0,3.12,24.44,32.04
22Month,0,3.69,6.01,30.2,0,0,0.96,1.09,0,12.44,20.63,4.51,119.57,5.6,11.48,172.31,1.23,3.28,25.28,4.65,0.14,2.73,2.87,0.14,0.96,0,2.6,0.55,0.41,0,0.96,20.5,0.27,0,0.14,0.55,0,15.17
