stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0.56,0,0.56,0,0,0,0,1.69,0.85,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,4.44,1.11,0.37,0,0,0,0.37,0,2.22,1.85,0.74,3.33,1.11,1.48,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37
3Month,0,0.1,0.1,1.46,0,0,17.79,0.21,0,2.18,0.42,0.21,42.33,0,0.42,0.42,0.62,0.1,0,4.99,0.1,0.1,0,0.1,0,0,0.1,0.31,0.52,0,0.21,0.21,0.62
22Month,0,1.37,1.23,5.47,0,0.41,3.69,3.42,2.32,30.75,2.73,2.19,23.5,0,1.09,1.91,4.24,0.27,0.55,0.41,0,0,0.14,0.55,0.14,0.14,0,0.14,0.14,0,0.27,0,1.23
