stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,4,13,39,0,1,0,1,1,1,0,0,2,32,23,93,3,24,1241,1,0,15,0,0,0,0,0,8,0
72hpf,0.56,0,1.41,0.28,1.13,0,0,0,0,0,0,0.56,2.54,0,2.54,0.28,16.35,53.55,0,0.28,2.82,0,0,2.82,0.28,0.28,0,0
21Day,2.22,0,3.7,0,3.7,1.85,0,0,0,3.33,0.37,0,0.37,1.11,4.81,0,2.59,7.77,0.37,0,0.37,0.37,0.37,0.74,0,0.37,0,0
3Month,0,0,1.25,0,0,0,0,0,0.21,0,0.21,0.1,0.42,0,0.52,0,0.1,0.21,0,0,0.1,0,0.73,0,0,0,0,0.94
22Month,0,0,0.27,0,0,0,0.14,0,0.27,0,0,0,0,0.14,0,0,0,0.14,0,0,0,0,0.27,0,0,0,0,0
