stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,14,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.56,0.28,2.25,5.36,0,0,0,0,0,0,0,0,0,0
21Day,1.11,0.37,1.48,0,0.37,0,0,0.37,0,0,7.77,0,0,0,5.55,1.48,0,0.74,1.85,0,1.11,0,0.37,0.37,0.74,0.37,0,0,2.22
3Month,0,0,0.42,0.1,0,0.1,0,0,0.94,0.1,0.1,0.73,0.21,0.21,8.63,0.73,0,0,0,0,0,0.1,13.42,0,0,0,0.21,2.08,0.73
22Month,0.14,0.14,0,0,0,0,0.14,0.14,1.23,0,0.14,0,0,0,2.87,0.27,0,0,0,0.14,0,0,0.55,0,0,0,0,0,0.14
