stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.41,0.56,2.82,0,0,0,0,0,0,0,0,1.13,5.92,0,1.13,0,0,0,0,3.1,1.13,0.56,4.51,0,0,0,0,0,0
21Day,0.74,0,0,10.36,0.37,0,0,0,1.11,0,0.37,1.85,2.59,0,0.74,6.66,2.59,2.96,0,0,0.37,0,2.22,0,0.37,0.74,0.37,0.37,0,1.11,0,4.07
3Month,0,0.1,0,0.83,0,0,0.1,0.1,0,0,3.33,0,0,1.56,0.1,0.31,0.73,0.1,0.1,0,0,0.1,0.1,0,0.21,0,0.21,3.64,0,0,0.42,0
22Month,0,0.27,0.14,1.23,0,0,0.27,1.23,23.78,0.27,8.2,11.34,0.41,2.6,0,0.55,1.23,0.68,0.14,0.27,1.23,0,0.27,0,1.37,0,0,1.91,0.55,0,0,5.19
