stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,33,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.1,0.56,2.82,1.13,5.07,0,0,0,0,0.28,0,0,4.51,0.56,3.66,0.28,0,312.01,94.14,1.13,0.85,4.51,0,0,4.23,0.28,0,0.56,0,0,0
21Day,0.37,1.11,2.96,0,2.59,0,0,0,0,1.11,0.37,0,0.74,0,1.48,0,0.37,68.08,30.34,0.37,0,1.11,2.22,0,1.48,0.37,0.74,0,0,0,1.11
3Month,0,0.52,0.21,0,0,0.1,0,0.52,0.21,0.1,0.21,0.1,0.31,0.1,0.31,0,0.1,0.94,0.42,0.21,0.21,0,0.1,0.52,0,0,0,0,0.1,7.18,0.21
22Month,0,0.14,0.41,0,0,0,0.41,2.19,0,0,0.14,0,0,0.14,0.14,0,0,0.41,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0.14
