stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.13,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0.28,0.28,0,8.74,0,0,0,0,0
21Day,0.37,0,0,45.88,0.37,0.74,0,0,0,0,0,0,0,0.37,2.22,5.18,0.37,5.18,0,0,0,2.59,1.11,0.37,0,12.21,0.37,0,0,0,0.37
3Month,0.1,0.1,0.31,85.29,0.21,0,0.21,0.1,0.21,0.21,1.66,3.02,1.04,2.08,4.16,16.33,1.14,5.82,1.87,0.62,0.31,0.31,0,0.31,0.1,15.39,1.14,13.94,2.6,9.99,0.73
22Month,0,0,0,19.81,0,0,0,0,0,0,0.27,1.64,0,0.14,0.82,0.96,0.41,0.41,0,0.82,0,0,0,0.14,0,1.23,0,1.09,0.27,0.14,0
