stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.41,0,0,0,0.28,0,0,0,0,0,0,0.28,1.97,0,0,0,0,0,2.82,0.28,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0.37,2.22,0.37,0.37,0,0.37,0,0,0,0,0,0.74,0,2.59,0.37,1.11,0,0,0,1.11,0.74,0,0,0,0.74,0.37,1.85,0,0,2.22,0,0,0,0
3Month,0,0,0.31,2.6,1.14,0,0,0,0.21,0.62,0.1,5.2,0.62,2.91,0,3.02,0.42,0.52,0.21,0,0.21,0,0.1,0.21,0.1,0,0,0.21,24.76,0.21,0,0,0.1,0.1,9.05,0.94
22Month,0,0.14,0.41,0.82,0.68,0,0.14,0,0.14,0.55,0.14,9.02,0,1.37,0.14,0,0.68,0.68,0,0.27,0,0.14,0,0.14,0,0.41,0,0,8.75,0,0.96,0,0,0,0,0
