stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,0,0,0,1,1,0,0,0
72hpf,0.28,0,0,0,0.85,1.13,3.66,0.28,0.56,0.28,0.28
21Day,0,0.37,0,0,0,0,3.7,0.37,0,0,0.37
3Month,0,0,0.31,0.1,0,0,0.1,0,0,0,0
22Month,0,0.14,0.14,0.41,0,0,0,0,0.14,0,0
